User,Location,Text,sentiment,probability
HunterMG_,,"Como fanático de los Eternals y Black Knight
Hice un video analizando el ""tráiler"" (entre muchas comillas)
De lo po… https://t.co/dULpTLjNwQ",Positivo,72
hollandxmarvels,she/her/they/it | 15 | virgo ⧗,"hola 
#ElizabethOlsen #TOMHOLLAND #WandaVision #TFATWS #MarvelStudios #WandaMaximoff #SpiderMan",Positivo,67
Jimminnaa,,#MarvelStudios Diciembre 2021 #SpiderManNoWayHome Toritooo 🐃 saben que me vi todo el cut y es super emocionante per… https://t.co/0AgD6xTbuz,Positivo,67
Vyral_News_,,"🚨 ¡Alucinante! 🚨 Con emotivo video #MarvelStudios da un vistazo de lo que vendrá en la Fase 4 😱
https://t.co/w8mqEwBs1K",Positivo,66
biebersmxbts,,"""Somos parte de una gran familia"" 🤧❤️

#MarvelStudios https://t.co/MPg9vzWy9K",Positivo,85
Lis_RojaRojita,En mi Venezuela Hermosa,"VIDEO REVELADOR!!!
Por:
Rafael Ramírez 
(@RRamirezVE)

""En éste video te muestro la caída de la producción petroler… https://t.co/LVtWpN8ZQ2",Positivo,69
CineekGo,"Bogotá, D.C., Colombia",El presidente de #MarvelStudios #KevinFeige dijo en una entrevista que el #DoctorStrange iba a aparecer en el final… https://t.co/79YxpITqc1,Positivo,72
ComicsSquad2,,#MarvelStudios ha revelado de forma oficial que la secuela de #CapitanaMarvel se titulará finalmente #TheMarvels.… https://t.co/yd4yoRU83r,Positivo,60
RenSebasGalv,México,"El momento de Loki llega este Junio 
#Loki 🔰 #MarvelStudios #Marvel 
https://t.co/xH0RsvVnsK",Positivo,68
ppeluo,Oriente Venezolano,"#4deMayo  Hola, acá les comparto en mi #blog #cuerpoymente Fase 4 del universo cinematografico #MarvelStudios… https://t.co/G0mZB91Bo9",Positivo,74
be_ramiro,"San Luis Potosí, México",Angelina Jolie es una diosa 😍 #AngelinaJolie #MarvelStudios #TheEternals #UCM https://t.co/I2EgyxsAQM,Positivo,66
MariaCinefila24,Mexico City ,Parte 3 #MarvelStudios Proyectos en Desarrollo https://t.co/GMgajLExlb,Positivo,68
MariaCinefila24,Mexico City ,#MarvelStudios Parte 2 Proyectos en Desarrollo https://t.co/kTtLjco6he,Positivo,68
elcinefano,"Cancún, Q. Roo","@JamesGunn, sé que tú no eres el director, ¿pero sabes si se tiene algo planeado al respecto en algún punto del MCU?
#MarvelStudios",Positivo,66
KikeCard2,"Zapopan, Jalisco","Parece que pronto tendremos un vistazo especial de la serie de ""#LOKI"".

#TomHiddleston #MarvelStudios #LokiSeries… https://t.co/JLDwgLvJqx",Positivo,68
DosSerpent,,Me encanta esta parte del trailer con la erupcion del monte vesubio en pompeii #Loki #LokiSeries #MarvelStudios… https://t.co/AZzmhhMxGm,Positivo,70
KikeCard2,"Zapopan, Jalisco",#MarvelStudios confirma que la serie #MoonKnight para #DisneyPlus se encuentra en pleno rodaje en #Budapest. El mus… https://t.co/qpskbcC9AX,Positivo,67
asiserielaA,"Hidalgo, México","Todo el día en la chamba, bien puteada pero me compraron tacos y acabo de ver todo lo que se viene de… https://t.co/FkVsFqqZbl",Positivo,80
KikeCard2,"Zapopan, Jalisco","El creador de la serie
#MalcomSpellman, añadió que hay muchas conversaciones al respecto y no sabe si los fans está… https://t.co/D3HMsODKvY",Positivo,71
KikeCard2,"Zapopan, Jalisco","#RUMOR: Según el Reportero #InsiderGeek #DanielRichtman, #HenryCavill se encuentra en conversaciones con… https://t.co/1neVPaC7qT",Positivo,65
KikeCard2,"Zapopan, Jalisco","#KevinFeige Presidente de #MarvelStudios confirma que #DoctorStrange sí iba a aparecer en #WandaVision, mostrando c… https://t.co/r9d9ZNYBsN",Positivo,68
KikeCard2,"Zapopan, Jalisco","Primer vistazo oficial de la cinta #Eternals de #MarvelStudios, la película dirigida por la Ganadora del Oscar… https://t.co/E1v1ajKSVX",Positivo,71
biebersmxbts,,"Veo el Detrás de escena o entrevistas y digo que hermoso debió haber sido parte de todo el ucm 

#MarvelStudios",Positivo,59
mmsncbal,SC-Cuc,"¿se me metió una basurita en el ojo?
-se me metió una basurita en el ojo-

La basurita: 12 años de recuerdos con… https://t.co/0fayVEiWoo",Positivo,62
irn2010,CARACAS,"Y por todo lo que  #MarvelStudios  Trae.
sigo llorando de la emociòn
#Eternals noviembre 2021
#SpiderMan3 diciembre… https://t.co/Kp2XIdrEwK",Positivo,64
KikeCard2,"Zapopan, Jalisco","#MalcolmSpellman, showrunner de la Serie de #DisneyPlus #TheFalconAndTheWinterSoldier, afirmó que le gustaría reali… https://t.co/iPeNPDmfd5",Positivo,67
federicoach,,No hay dudas que son los creadores del espectáculo #nba #MarvelStudios,Positivo,56
